2,0,11,7.492
2,1,14,8.351
2,2,14,8.412
2,3,14,8.225
2,4,11,6.964
3,0,16,15.429
3,1,11,11.568
3,2,16,14.778
3,3,16,15.571
3,4,11,12.244
4,0,11,17.894
4,1,11,18.14
4,2,16,21.431
4,3,12,19.463
4,4,12,20.721
5,0,17,33.641
5,1,17,43.883
5,2,16,32.172
5,3,13,33.437
5,4,18,36.013
6,0,13,46.854
6,1,19,51.968
6,2,13,43.938
6,3,13,50.048
6,4,12,36.244
7,0,13,68.748
7,1,11,45.051
7,2,17,61.482
7,3,18,64.835
7,4,17,61.109
8,0,18,80.024
8,1,13,77.643
8,2,13,64.785
8,3,13,81.373
8,4,18,91.84
9,0,13,105.435
9,1,13,81.725
9,2,17,93.837
9,3,13,111.138
9,4,18,93.358
10,0,18,154.441
10,1,18,143.466
10,2,19,145.9
10,3,13,125.1
10,4,19,133.795
11,0,18,152.445
11,1,19,197.121
11,2,18,139.422
11,3,13,149.076
11,4,19,193.966
12,0,18,196.752
12,1,13,164.691
12,2,18,192.836
12,3,13,203.021
12,4,13,217.177
13,0,11,147.236
13,1,13,191.803
13,2,18,228.076
13,3,18,215.224
13,4,19,244.251
14,0,18,230.085
14,1,13,205.637
14,2,18,317.292
14,3,19,288.484
14,4,18,245.147
15,0,13,344.447
15,1,18,330.753
15,2,13,311.271
15,3,19,341.613
15,4,13,344.249
