2,0,12,2.269
2,1,12,1.843
2,2,12,1.702
2,3,12,1.854
2,4,12,1.935
3,0,18,2.428
3,1,18,2.418
3,2,18,2.396
3,3,18,2.415
3,4,18,2.4
4,0,24,3.195
4,1,24,3.241
4,2,24,3.068
4,3,24,3.094
4,4,24,3.159
5,0,30,3.611
5,1,30,3.385
5,2,30,4.031
5,3,30,3.572
5,4,30,3.577
6,0,36,4.447
6,1,36,4.178
6,2,36,4.321
6,3,36,4.506
6,4,36,4.807
7,0,42,5.066
7,1,42,5.668
7,2,42,5.013
7,3,42,4.909
7,4,42,5.657
8,0,48,6.74
8,1,48,6.759
8,2,48,6.426
8,3,48,6.248
8,4,48,6.54
9,0,54,8.397
9,1,54,7.849
9,2,54,7.589
9,3,54,7.903
9,4,54,6.95
10,0,60,7.947
10,1,60,8.147
10,2,60,8.106
10,3,60,8.261
10,4,60,8.408
11,0,66,9.505
11,1,66,9.26
11,2,66,10.525
11,3,66,9.524
11,4,66,9.238
12,0,72,12.067
12,1,72,10.66
12,2,72,11.959
12,3,72,10.686
12,4,72,12.939
13,0,78,14.183
13,1,78,11.682
13,2,78,14.693
13,3,78,14.673
13,4,78,10.988
14,0,84,16.881
14,1,84,15.365
14,2,84,13.458
14,3,84,13.124
14,4,84,14.387
15,0,90,19.421
15,1,90,18.066
15,2,90,19.165
15,3,90,16.443
15,4,90,15.366
