2,0,12,4.535
2,1,12,4.346
2,2,12,5.254
2,3,12,4.798
2,4,12,4.251
3,0,18,7.377
3,1,18,5.319
3,2,18,6.701
3,3,18,7.277
3,4,18,5.491
4,0,24,7.74
4,1,24,7.384
4,2,24,10.084
4,3,24,8.374
4,4,24,7.707
5,0,30,12.758
5,1,30,12.341
5,2,30,12.697
5,3,30,9.722
5,4,30,12.522
6,0,36,12.836
6,1,36,15.661
6,2,36,12.471
6,3,36,12.532
6,4,36,12.073
7,0,42,14.433
7,1,42,14.631
7,2,42,16.185
7,3,42,17.283
7,4,42,19.002
8,0,48,23.394
8,1,48,17.998
8,2,48,18.112
8,3,48,17.729
8,4,48,22.225
9,0,54,23.527
9,1,54,21.388
9,2,54,24.624
9,3,54,23.133
9,4,54,25.878
10,0,60,28.417
10,1,60,28.732
10,2,60,29.773
10,3,60,24.68
10,4,60,30.278
11,0,66,34.514
11,1,66,33.409
11,2,66,37.812
11,3,66,26.373
11,4,66,32.98
12,0,72,38.381
12,1,72,31.782
12,2,72,38.152
12,3,72,32.657
12,4,72,33.181
13,0,78,36.884
13,1,78,35.578
13,2,78,45.682
13,3,78,48.463
13,4,78,43.058
14,0,84,55.275
14,1,84,40.723
14,2,84,45.709
14,3,84,48.787
14,4,84,46.628
15,0,90,51.187
15,1,90,56.171
15,2,90,49.668
15,3,90,53.589
15,4,90,44.836
