2,0,12,11.721
2,1,12,10.524
2,2,12,10.783
2,3,12,10.571
2,4,12,10.413
3,0,18,13.465
3,1,18,13.165
3,2,18,13.042
3,3,18,13.286
3,4,18,13.118
4,0,24,16.31
4,1,24,16.523
4,2,24,15.837
4,3,24,15.854
4,4,24,16.12
5,0,30,21.009
5,1,30,19.585
5,2,30,20.023
5,3,30,19.316
5,4,30,19.269
6,0,36,23.974
6,1,36,22.523
6,2,36,23.856
6,3,36,23.486
6,4,36,22.699
7,0,42,27.263
7,1,42,27.748
7,2,42,26.866
7,3,42,28.553
7,4,42,28.89
8,0,48,31.609
8,1,48,30.183
8,2,48,31.631
8,3,48,33.367
8,4,48,31.581
9,0,54,40.683
9,1,54,39.882
9,2,54,38.172
9,3,54,34.529
9,4,54,35.551
10,0,60,42.863
10,1,60,43.507
10,2,60,41.556
10,3,60,45.782
10,4,60,45.497
11,0,66,51.126
11,1,66,49.167
11,2,66,47.107
11,3,66,51.863
11,4,66,46.99
12,0,72,51.423
12,1,72,56.964
12,2,72,58.368
12,3,72,58.857
12,4,72,53.469
13,0,78,66.457
13,1,78,62.791
13,2,78,62.687
13,3,78,59.104
13,4,78,63.3
14,0,84,71.127
14,1,84,67.068
14,2,84,63.48
14,3,84,61.266
14,4,84,74.867
15,0,90,79.093
15,1,90,80.875
15,2,90,78.095
15,3,90,77.9
15,4,90,72.663
