2,0,6,5.449
2,1,6,3.546
2,2,6,3.511
2,3,6,3.511
2,4,6,3.685
3,0,9,5.507
3,1,9,5.274
3,2,9,4.978
3,3,9,5.177
3,4,9,4.92
4,0,12,7.298
4,1,12,7.567
4,2,12,6.878
4,3,12,6.813
4,4,12,6.842
5,0,15,9.677
5,1,15,9.133
5,2,15,9.669
5,3,15,8.842
5,4,15,9.336
6,0,18,12.825
6,1,18,13.054
6,2,18,12.69
6,3,18,12.118
6,4,18,12.421
7,0,21,17.325
7,1,21,17.334
7,2,21,15.683
7,3,21,18.855
7,4,21,18.976
8,0,24,24.203
8,1,24,22.232
8,2,24,24.315
8,3,24,22.214
8,4,24,24.264
9,0,27,34.156
9,1,27,32.939
9,2,27,31.131
9,3,27,29.193
9,4,27,30.743
10,0,30,46.444
10,1,30,46.594
10,2,30,41.073
10,3,30,47.63
10,4,30,49.549
11,0,33,59.143
11,1,33,59.258
11,2,33,52.978
11,3,33,67.742
11,4,33,56.62
12,0,36,71.029
12,1,36,85.768
12,2,36,86.795
12,3,36,85.634
12,4,36,89.481
13,0,39,134.373
13,1,39,111.847
13,2,39,110.399
13,3,39,121.241
13,4,39,118.544
14,0,42,154.519
14,1,42,151.571
14,2,42,153.266
14,3,42,128.195
14,4,42,189.978
15,0,45,214.187
15,1,45,183.506
15,2,45,197.349
15,3,45,186.304
15,4,45,226.815
16,0,48,299.954
16,1,48,229.242
16,2,48,277.175
16,3,48,271.423
16,4,48,271.838
